CaseID$,CNTYNAME,STATE,FIPST,FIPCNT,ADVCHBD,SEVADV,ALLOTHER,AMERBAPA,ARMENIAN,ASSEMBGD,CPRIMBAP,FREEWBAP,GENBAP,NEGROBAP,NBAPT,PRIMBAP,REGBAP,SOUTHBAP,UNITBAP,UNBAPAM,DUNKCON,DUNKPROG,BUDDHIST,CHCHRIST,CHCHRSCI,CHGOD,CHGODCH,CHGODNA,NAZARENE,CHBRETH,CONGREG,DISCIPLE,EASTORTH,RUSSORTH,EVANREF,EVANCHR,EVANCONG,EVANAUG,EVANUNIT,FEDERATE,FRIENFOU,FRIENORT,GRKORTHH,JEWISH,CJCLDS,LDSREORG,LUTHAMER,LUTHAUG,LUTHSOUM,LUTHFREE,LUTHWISC,LUTHNORW,LUTHMO,LUTHUNDA,LUTHUNIT,LUTHUNAM,MENNON,AME,AMEZION,COLMETH,METHEPIS,METHEPS,METHPROT,POLISH,CUMBPRES,PRESBUS,PRESBUSA,UNITPRES,PROTEPIS,CHRREF,REFAMER,CATHOLIC,SALVARMY,SCANDEV,UNITAR,UNTBRCHR,UNIVER,REFEPISC
1,AUTAUGA,ALABAMA,1,1,0,0,258,0,0,0,23,0,0,3304,0,0,0,2323,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603,415,0,148,769,155,0,0,306,0,0,21,0,0,0,0,0,0,0,0,0
2,BALDWIN,ALABAMA,1,2,0,0,1081,0,0,0,0,0,0,3026,0,0,0,1629,0,0,0,0,0,181,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,761,0,12,1156,0,0,0,536,0,0,316,0,0,1103,0,0,0,0,0,0
3,BARBOUR,ALABAMA,1,3,0,0,170,0,0,0,0,318,0,7862,0,52,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3113,0,0,0,1020,0,0,0,502,0,0,0,0,0,59,0,0,0,0,0,0
4,BIBB,ALABAMA,1,4,0,0,246,0,0,0,21,33,0,3906,0,0,0,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,371,27,0,1137,0,0,0,100,100,0,3,0,0,32,0,0,0,0,0,0
5,BLOUNT,ALABAMA,1,5,0,0,688,0,0,0,0,0,0,457,0,211,0,3771,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BULLOCK,ALABAMA,1,6,0,0,30,0,0,0,0,0,0,7962,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2233,709,937,99,723,0,0,0,202,0,0,20,0,0,0,0,0,0,0,0,0
7,BUTLER,ALABAMA,1,7,0,0,758,0,0,0,0,0,0,5655,0,127,0,3641,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,3035,0,0,1581,68,0,0,69,0,0,69,0,0,22,0,0,0,0,0,0
8,CALHOUN/BENTON,ALABAMA,1,8,0,0,1308,0,0,0,0,0,0,6572,0,34,0,6579,0,0,0,0,0,315,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,667,186,2272,430,4496,0,0,0,817,80,0,647,0,0,130,0,0,0,0,0,0
9,CHAMBERS,ALABAMA,1,9,0,0,871,0,0,0,0,0,0,7900,0,293,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,2001,241,2817,0,0,0,88,0,0,0,0,0,20,0,0,0,0,0,0
10,CHEROKEE,ALABAMA,1,10,0,0,305,0,0,0,0,0,0,827,0,0,0,2230,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,275,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CHILTON/BAKER,ALABAMA,1,11,0,0,720,0,0,0,0,0,0,4299,0,82,0,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,39,0,380,162,392,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0
12,CHOCTAW,ALABAMA,1,12,0,0,128,0,0,0,150,0,0,4404,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1815,2600,365,1167,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CLARKE,ALABAMA,1,13,0,0,268,0,0,0,0,0,0,7791,0,22,0,2327,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,696,3250,0,1317,341,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
14,CLAY,ALABAMA,1,14,0,0,474,0,0,0,0,0,0,662,0,88,0,3361,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,1065,188,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
15,CLEBURNE,ALABAMA,1,15,0,0,197,0,0,0,0,0,0,576,0,88,0,3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,COFFEE,ALABAMA,1,16,0,0,485,0,0,0,0,0,0,3051,0,0,0,3404,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,103,1797,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
17,COLBERT,ALABAMA,1,17,0,0,621,0,0,0,128,61,0,3060,0,0,0,1048,0,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,0,1060,142,1445,0,0,0,267,200,0,96,0,0,262,0,0,0,0,0,0
18,CONECUH,ALABAMA,1,18,0,0,193,0,0,0,0,0,0,4689,0,135,0,1582,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1255,0,7,2049,0,0,0,41,0,0,12,0,0,0,0,0,0,0,0,0
19,COOSA,ALABAMA,1,19,0,0,71,0,0,0,0,0,0,2082,0,132,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,290,145,1442,70,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0
20,COVINGTON,ALABAMA,1,20,0,0,1033,0,0,0,0,0,0,2861,0,131,0,5547,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,410,0,60,1829,0,0,0,181,0,0,14,0,0,9,0,0,0,0,0,0
